# Title: Global Land and Ocean February Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Year,Anomaly
1850,-0.17
1851,-0.03
1852,-0.20
1853,-0.21
1854,-0.15
1855,-0.04
1856,0.01
1857,-0.31
1858,-0.19
1859,-0.03
1860,-0.16
1861,-0.49
1862,-0.46
1863,-0.23
1864,-0.24
1865,-0.21
1866,0.02
1867,-0.30
1868,-0.25
1869,0.11
1870,-0.29
1871,-0.33
1872,-0.28
1873,-0.23
1874,-0.21
1875,-0.22
1876,-0.42
1877,-0.07
1878,0.21
1879,-0.14
1880,-0.39
1881,-0.13
1882,-0.09
1883,-0.33
1884,-0.14
1885,-0.27
1886,-0.36
1887,-0.44
1888,-0.28
1889,0.23
1890,-0.35
1891,-0.52
1892,-0.09
1893,-0.47
1894,-0.45
1895,-0.34
1896,-0.15
1897,-0.19
1898,-0.30
1899,-0.34
1900,0.03
1901,-0.10
1902,-0.06
1903,-0.21
1904,-0.52
1905,-0.49
1906,-0.21
1907,-0.48
1908,-0.26
1909,-0.42
1910,-0.40
1911,-0.58
1912,-0.20
1913,-0.37
1914,-0.12
1915,-0.03
1916,-0.15
1917,-0.63
1918,-0.43
1919,-0.24
1920,-0.20
1921,-0.26
1922,-0.41
1923,-0.32
1924,-0.17
1925,-0.36
1926,0.05
1927,-0.15
1928,-0.11
1929,-0.43
1930,-0.23
1931,-0.17
1932,-0.19
1933,-0.28
1934,-0.08
1935,0.13
1936,-0.27
1937,0.01
1938,0.05
1939,-0.05
1940,0.12
1941,0.32
1942,0.02
1943,0.08
1944,0.29
1945,0.08
1946,0.03
1947,0.00
1948,-0.09
1949,-0.10
1950,-0.21
1951,-0.38
1952,0.12
1953,0.17
1954,-0.06
1955,-0.19
1956,-0.17
1957,-0.08
1958,0.19
1959,0.10
1960,0.15
1961,0.17
1962,0.16
1963,0.20
1964,-0.10
1965,-0.16
1966,-0.03
1967,-0.18
1968,-0.14
1969,-0.07
1970,0.21
1971,-0.15
1972,-0.13
1973,0.34
1974,-0.25
1975,0.10
1976,-0.07
1977,0.20
1978,0.16
1979,-0.04
1980,0.46
1981,0.42
1982,0.21
1983,0.46
1984,0.20
1985,0.04
1986,0.39
1987,0.39
1988,0.46
1989,0.32
1990,0.40
1991,0.50
1992,0.43
1993,0.40
1994,0.06
1995,0.76
1996,0.49
1997,0.37
1998,0.81
1999,0.65
2000,0.54
2001,0.43
2002,0.68
2003,0.62
2004,0.70
2005,0.63
2006,0.76
2007,0.70
2008,0.33
2009,0.54
2010,0.83
2011,0.51
2012,0.52
2013,0.60
2014,0.58
2015,0.88
2016,1.34
2017,1.10
2018,0.89
2019,0.91
2020,1.21
2021,0.65
2022,0.90
2023,1.02
2024,1.41
2025,1.26
