DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      23.710,
1900-02-15,      23.310,
1900-03-15,      23.270,
1900-04-15,      23.520,
1900-05-15,      24.260,
1900-06-15,      25.090,
1900-07-15,      25.510,
1900-08-15,      26.100,
1900-09-15,      26.330,
1900-10-15,      26.140,
1900-11-15,      25.300,
1900-12-15,      24.630,
1901-01-15,      23.920,
1901-02-15,      23.840,
1901-03-15,      23.750,
1901-04-15,      23.830,
1901-05-15,      24.560,
1901-06-15,      25.100,
1901-07-15,      25.570,
1901-08-15,      25.930,
1901-09-15,      25.890,
1901-10-15,      26.070,
1901-11-15,      25.560,
1901-12-15,      24.870,
1902-01-15,      23.940,
1902-02-15,      23.530,
1902-03-15,      23.550,
1902-04-15,      23.930,
1902-05-15,      24.090,
1902-06-15,      24.880,
1902-07-15,      25.850,
1902-08-15,      25.940,
1902-09-15,      26.080,
1902-10-15,      25.570,
1902-11-15,      25.480,
1902-12-15,      24.240,
1903-01-15,      23.790,
1903-02-15,      23.330,
1903-03-15,      23.100,
1903-04-15,      23.220,
1903-05-15,      24.340,
1903-06-15,      24.650,
1903-07-15,      25.210,
1903-08-15,      25.700,
1903-09-15,      26.070,
1903-10-15,      25.950,
1903-11-15,      25.330,
1903-12-15,      24.400,
1904-01-15,      24.030,
1904-02-15,      23.270,
1904-03-15,      23.530,
1904-04-15,      23.720,
1904-05-15,      23.950,
1904-06-15,      24.640,
1904-07-15,      24.990,
1904-08-15,      25.570,
1904-09-15,      26.260,
1904-10-15,      25.800,
1904-11-15,      25.260,
1904-12-15,      24.340,
1905-01-15,      23.420,
1905-02-15,      23.200,
1905-03-15,      23.450,
1905-04-15,      23.490,
1905-05-15,      23.750,
1905-06-15,      25.010,
1905-07-15,      25.520,
1905-08-15,      26.110,
1905-09-15,      25.840,
1905-10-15,      25.810,
1905-11-15,      25.010,
1905-12-15,      24.290,
1906-01-15,      23.860,
1906-02-15,      22.850,
1906-03-15,      23.330,
1906-04-15,      23.900,
1906-05-15,      24.150,
1906-06-15,      25.240,
1906-07-15,      24.890,
1906-08-15,      26.030,
1906-09-15,      25.880,
1906-10-15,      26.010,
1906-11-15,      25.410,
1906-12-15,      24.710,
1907-01-15,      23.470,
1907-02-15,      23.260,
1907-03-15,      23.350,
1907-04-15,      23.230,
1907-05-15,      23.840,
1907-06-15,      24.490,
1907-07-15,      25.090,
1907-08-15,      25.620,
1907-09-15,      25.730,
1907-10-15,      26.120,
1907-11-15,      24.940,
1907-12-15,      23.900,
1908-01-15,      23.350,
1908-02-15,      22.750,
1908-03-15,      23.170,
1908-04-15,      23.150,
1908-05-15,      23.960,
1908-06-15,      24.080,
1908-07-15,      25.010,
1908-08-15,      24.930,
1908-09-15,      25.740,
1908-10-15,      25.800,
1908-11-15,      25.210,
1908-12-15,      24.230,
1909-01-15,      23.560,
1909-02-15,      22.830,
1909-03-15,      22.830,
1909-04-15,      23.610,
1909-05-15,      24.240,
1909-06-15,      24.120,
1909-07-15,      24.700,
1909-08-15,      25.330,
1909-09-15,      25.360,
1909-10-15,      25.830,
1909-11-15,      25.060,
1909-12-15,      24.570,
1910-01-15,      23.420,
1910-02-15,      22.980,
1910-03-15,      23.550,
1910-04-15,      23.140,
1910-05-15,      23.930,
1910-06-15,      24.560,
1910-07-15,      24.820,
1910-08-15,      25.730,
1910-09-15,      25.910,
1910-10-15,      25.510,
1910-11-15,      24.950,
1910-12-15,      24.840,
1911-01-15,      23.880,
1911-02-15,      23.130,
1911-03-15,      23.320,
1911-04-15,      23.130,
1911-05-15,      23.820,
1911-06-15,      24.160,
1911-07-15,      24.230,
1911-08-15,      25.460,
1911-09-15,      25.750,
1911-10-15,      25.190,
1911-11-15,      25.040,
1911-12-15,      24.210,
